year,month,Yield Amount,temp_min,temp_max
2020,6,159.7,244,300
2022,6,160.8,244,300
2015,6,154.2,244,294
2016,9,193.1,244,294
2020,8,202.3,244,289
2022,7,204.6,244,289
2023,7,222.5,244,294
2020,6,202.3,244,294
2012,7,176.6,250,300
2012,9,159.1,244,283
2017,8,202.6,256,278
2016,8,214.2,250,256
2022,8,201.5,250,300
2014,9,173.7,256,283
2022,5,201.5,250,278
2022,8,201.5,244,289
2022,8,201.5,244,289
2022,8,201.5,244,300
2010,6,175.5,250,300
2020,6,169.3,244,289
2022,8,201.5,244,300
2011,7,177.8,244,300
2021,6,180.5,244,289
2010,6,175.5,244,294
2020,8,169.3,244,300
2020,6,169.3,244,289
2018,7,185.1,244,300
2020,6,169.3,244,300
2022,6,201.5,244,300
2015,6,146.9,244,294
2016,9,214.2,244,294
2020,8,208.5,244,289
2022,7,199,244,289
2023,7,215.7,244,294
2020,6,208.5,244,294
2012,7,168.4,250,300
2012,9,155.6,244,283
2017,8,216.4,256,278
2016,8,147.2,250,256
2022,8,231.5,250,300
2014,9,193.7,256,283
2022,5,231.5,250,278
2022,8,231.5,244,289
2022,8,231.5,244,289
2022,8,231.5,244,300
2010,6,144.3,250,300
2020,6,192.4,244,289
2022,8,231.5,244,300
2011,7,177.1,244,300
2021,6,209.4,244,289
2010,6,144.3,244,294
2020,8,192.4,244,300
2020,6,192.4,244,289
2018,7,220.6,244,300
2020,6,192.4,244,300
2022,6,231.5,244,300
2015,6,199.5,244,294
2016,9,147.2,244,294
2020,8,189.2,244,289
2022,7,194.4,244,289
2023,7,207.6,244,294
2020,6,189.2,244,294
2012,7,164.2,250,300
2012,9,145.6,244,283
2017,8,193.9,256,278
2016,8,230.4,250,256
2022,8,187.9,250,300
2014,9,188,256,283
2022,5,187.9,250,278
2022,8,187.9,244,289
2022,8,187.9,244,289
2022,8,187.9,244,300
2010,6,142.3,250,300
2020,6,178.4,244,289
2022,8,187.9,244,300
2011,7,142.3,244,300
2021,6,193.9,244,289
2010,6,142.3,244,294
2020,8,178.4,244,300
2020,6,178.4,244,289
2018,7,174.2,244,300
2020,6,178.4,244,300
2022,6,187.9,244,300
2015,6,150.7,244,294
2016,9,230.4,244,294
2020,8,191.2,244,289
2022,7,185.1,244,289
2023,7,197.3,244,294
2020,6,191.2,244,294
2012,7,147.7,250,300
2012,9,177,244,283
2017,8,156.3,256,278
2016,8,154.4,250,256
2022,8,182.8,250,300
2014,9,183.3,256,283
2022,5,182.8,250,278
2022,8,182.8,244,289
2022,8,182.8,244,289
2022,8,182.8,244,300
2010,6,142.1,250,300
2020,6,162.5,244,289
2022,8,182.8,244,300
2011,7,155.4,244,300
2021,6,190.1,244,289
2010,6,142.1,244,294
2020,8,162.5,244,300
2020,6,162.5,244,289
2018,7,166.6,244,300
2020,6,162.5,244,300
2022,6,182.8,244,300
2015,6,148.9,244,294
2016,9,154.4,244,294
2020,8,217.1,244,289
2022,7,210.9,244,289
2023,7,223.2,244,294
2020,6,217.1,244,294
2012,9,139.4,244,283
2017,8,241.8,256,278
2016,8,208,250,256
2022,8,187.9,250,300
2014,9,177.9,256,283
2022,5,187.9,250,278
2022,8,187.9,244,289
2022,8,187.9,244,289
2022,8,187.9,244,300
2010,6,155.1,250,300
2020,6,179.3,244,289
2022,8,187.9,244,300
2011,7,179.3,244,300
2021,6,217.9,244,289
2010,6,155.1,244,294
2020,8,179.3,244,300
2020,6,179.3,244,289
2018,7,173.2,244,300
2020,6,179.3,244,300
2022,6,187.9,244,300
2015,6,210.4,244,294
2016,9,208,244,294
2020,8,179.5,244,289
2022,7,209,244,289
2023,7,220.5,244,294
2020,6,179.5,244,294
2012,9,158.9,244,283
2017,8,174.5,256,278
2016,8,233.8,250,256
2022,8,238.6,250,300
2014,9,216.1,256,283
2022,5,238.6,250,278
2022,8,238.6,244,289
2022,8,238.6,244,289
2022,8,238.6,244,300
2010,6,147.8,250,300
2020,6,205.5,244,289
2022,8,238.6,244,300
2011,7,179.5,244,300
2021,6,196.2,244,289
2010,6,147.8,244,294
2020,8,205.5,244,300
2020,6,205.5,244,289
2018,7,236.8,244,300
2020,6,205.5,244,300
2022,6,238.6,244,300
2015,6,157.8,244,294
2016,9,233.8,244,294
2020,8,180.9,244,289
2022,7,193.7,244,289
2023,7,194.4,244,294
2020,6,180.9,244,294
2012,9,137.8,244,283
2017,8,204.5,256,278
2016,8,222.6,250,256
2022,8,189.3,250,300
2014,9,181.3,256,283
2022,5,189.3,250,278
2022,8,189.3,244,289
2022,8,189.3,244,289
2022,8,189.3,244,300
2010,6,169.1,250,300
2020,6,184.4,244,289
2022,8,189.3,244,300
2011,7,185.1,244,300
2021,6,198.2,244,289
2010,6,169.1,244,294
2020,8,184.4,244,300
2020,6,184.4,244,289
2018,7,162,244,300
2020,6,184.4,244,300
2022,6,189.3,244,300
2015,6,179.7,244,294
2016,9,222.6,244,294
2020,8,195.2,244,289
2022,7,194.2,244,289
2023,7,210.7,244,294
2020,6,195.2,244,294
2012,9,160.1,244,283
2017,8,149.1,256,278
2016,8,234.5,250,256
2022,8,218.8,250,300
2014,9,212,256,283
2022,5,218.8,250,278
2022,8,218.8,244,289
2022,8,218.8,244,289
2022,8,218.8,244,300
2010,6,138.2,250,300
2020,6,206.4,244,289
2022,8,218.8,244,300
2011,7,144.5,244,300
2021,6,207.2,244,289
2010,6,138.2,244,294
2020,8,206.4,244,300
2020,6,206.4,244,289
2018,7,214.4,244,300
2020,6,206.4,244,300
2022,6,218.8,244,300
2015,6,178,244,294
2016,9,234.5,244,294
2020,8,195,244,289
2022,7,198,244,289
2023,7,194.3,244,294
2020,6,195,244,294
2012,9,159.9,244,283
2017,8,235,256,278
2016,8,190.2,250,256
2022,8,177.3,250,300
2014,9,173,256,283
2022,5,177.3,250,278
2022,8,177.3,244,289
2022,8,177.3,244,289
2022,8,177.3,244,300
2010,6,168,250,300
2020,6,161.4,244,289
2022,8,177.3,244,300
2011,7,144.8,244,300
2021,6,173.9,244,289
2010,6,168,244,294
2020,8,161.4,244,300
2020,6,161.4,244,289
2018,7,154.4,244,300
2020,6,161.4,244,300
2022,6,177.3,244,300
2015,6,193.6,244,294
2016,9,190.2,244,294
2020,8,218.5,244,289
2022,7,207.4,244,289
2023,7,232,244,294
2020,6,218.5,244,294
2012,9,156.7,244,283
2017,8,199.5,256,278
2016,8,202.8,250,256
2022,8,242.9,250,300
2014,9,235.7,256,283
2022,5,242.9,250,278
2022,8,242.9,244,289
2022,8,242.9,244,289
2022,8,242.9,244,300
2010,6,175.7,250,300
2020,6,212.5,244,289
2022,8,242.9,244,300
2011,7,172.2,244,300
2021,6,213.5,244,289
2010,6,175.7,244,294
2020,8,212.5,244,300
2020,6,212.5,244,289
2018,7,239.3,244,300
2020,6,212.5,244,300
2022,6,242.9,244,300
2015,6,217.2,244,294
2016,9,202.8,244,294
2020,8,234.4,244,289
2022,7,223.9,244,289
2023,7,240.2,244,294
2020,6,234.4,244,294
2012,9,166.3,244,283
2017,8,236.8,256,278
2016,8,198.7,250,256
2022,8,219.2,250,300
2014,9,197,256,283
2022,5,219.2,250,278
2022,8,219.2,244,289
2022,8,219.2,244,289
2022,8,219.2,244,300
2010,6,166.8,250,300
2020,6,206.7,244,289
2022,8,219.2,244,300
2011,7,177.8,244,300
2021,6,212.2,244,289
2010,6,166.8,244,294
2020,8,206.7,244,300
2020,6,206.7,244,289
2018,7,207.5,244,300
2020,6,206.7,244,300
2022,6,219.2,244,300
2015,6,174.1,244,294
2016,9,198.7,244,294
2020,8,219.2,244,289
2022,7,193.9,244,289
2023,7,228.7,244,294
2020,6,219.2,244,294
2012,9,140.4,244,283
2017,8,192.7,256,278
2016,8,225.9,250,256
2022,8,242.7,250,300
2014,9,206.8,256,283
2022,5,242.7,250,278
2022,8,242.7,244,289
2022,8,242.7,244,289
2022,8,242.7,244,300
2010,6,164.1,250,300
2020,6,216.6,244,289
2022,8,242.7,244,300
2011,7,176.2,244,300
2021,6,216.9,244,289
2010,6,164.1,244,294
2020,8,216.6,244,300
2020,6,216.6,244,289
2018,7,242,244,300
2020,6,216.6,244,300
2022,6,242.7,244,300
2015,6,142.3,244,294
2016,9,225.9,244,294
2020,8,196.1,244,289
2022,7,211.7,244,289
2023,7,205.9,244,294
2020,6,196.1,244,294
2017,8,192.6,256,278
2016,8,170.4,250,256
2022,8,219.5,250,300
2014,9,215.6,256,283
2022,5,219.5,250,278
2022,8,219.5,244,289
2022,8,219.5,244,289
2022,8,219.5,244,300
2010,6,148.3,250,300
2020,6,193.1,244,289
2022,8,219.5,244,300
2011,7,144.3,244,300
2021,6,214.5,244,289
2010,6,148.3,244,294
2020,8,193.1,244,300
2020,6,193.1,244,289
2018,7,223.1,244,300
2020,6,193.1,244,300
2022,6,219.5,244,300
2015,6,159.6,244,294
2016,9,170.4,244,294
2020,8,139,244,289
2022,7,183.3,244,289
2023,7,177,244,294
2020,6,139,244,294
2017,8,189.7,256,278
2016,8,217.9,250,256
2022,8,208.4,250,300
2014,9,212.4,256,283
2022,5,208.4,250,278
2022,8,208.4,244,289
2022,8,208.4,244,289
2022,8,208.4,244,300
2010,6,162.5,250,300
2020,6,193.6,244,289
2022,8,208.4,244,300
2011,7,168.3,244,300
2021,6,194.2,244,289
2010,6,162.5,244,294
2020,8,193.6,244,300
2020,6,193.6,244,289
2018,7,210.3,244,300
2020,6,193.6,244,300
2022,6,208.4,244,300
2015,6,186.3,244,294
2016,9,217.9,244,294
2020,8,191.1,244,289
2022,7,162.6,244,289
2023,7,165.3,244,294
2020,6,191.1,244,294
2017,8,227.2,256,278
2016,8,156.6,250,256
2022,8,192,250,300
2014,9,205.9,256,283
2022,5,192,250,278
2022,8,192,244,289
2022,8,192,244,289
2022,8,192,244,300
2010,6,139.4,250,300
2020,6,179.4,244,289
2022,8,192,244,300
2011,7,166,244,300
2021,6,172,244,289
2010,6,139.4,244,294
2020,8,179.4,244,300
2020,6,179.4,244,289
2018,7,208.4,244,300
2020,6,179.4,244,300
2022,6,192,244,300
2015,6,175.6,244,294
2016,9,156.6,244,294
2020,8,200.4,244,289
2022,7,185.4,244,289
2023,7,200.4,244,294
2020,6,200.4,244,294
2017,8,182.7,256,278
2016,8,222.1,250,256
2022,8,236.5,250,300
2014,9,243.4,256,283
2022,5,236.5,250,278
2022,8,236.5,244,289
2022,8,236.5,244,289
2022,8,236.5,244,300
2010,6,163.6,250,300
2020,6,210,244,289
2022,8,236.5,244,300
2011,7,186.2,244,300
2021,6,215.2,244,289
2010,6,163.6,244,294
2020,8,210,244,300
2020,6,210,244,289
2018,7,243,244,300
2020,6,210,244,300
2022,6,236.5,244,300
2015,6,165.1,244,294
2016,9,222.1,244,294
2020,8,189.3,244,289
2022,7,198.7,244,289
2023,7,212,244,294
2020,6,189.3,244,294
2017,8,154.5,256,278
2016,8,140.1,250,256
2022,8,185,250,300
2014,9,192.3,256,283
2022,5,185,250,278
2022,8,185,244,289
2022,8,185,244,289
2022,8,185,244,300
2010,6,161.6,250,300
2020,6,190.5,244,289
2022,8,185,244,300
2011,7,155.4,244,300
2021,6,190.3,244,289
2010,6,161.6,244,294
2020,8,190.5,244,300
2020,6,190.5,244,289
2018,7,162,244,300
2020,6,190.5,244,300
2022,6,185,244,300
2015,6,199.4,244,294
2016,9,140.1,244,294
